iter	Logloss
0	0.6716822118
1	0.6511551369
2	0.6323665556
3	0.6147184228
4	0.5992298048
5	0.5861180009
6	0.5728646893
7	0.5609857382
8	0.5498595682
9	0.5395730374
10	0.5297777043
11	0.5213507132
12	0.5141431809
13	0.5086927051
14	0.50233274
15	0.4969168807
16	0.4913403712
17	0.487342954
18	0.4832386452
19	0.4786674554
20	0.4746679184
21	0.4706898519
22	0.4666970182
23	0.463201384
24	0.4604295098
25	0.4575488093
26	0.4543047837
27	0.4520043185
28	0.4488779611
29	0.4462510066
30	0.4449716221
31	0.443110538
32	0.4408241109
33	0.4385828798
34	0.436974253
35	0.4357103657
36	0.4341161539
37	0.4323645459
38	0.4307874787
39	0.4296870828
40	0.4283585806
41	0.4273089493
42	0.4262172015
43	0.4252165339
44	0.4243872774
45	0.4233196582
46	0.4227139612
47	0.4218183026
48	0.4209999946
49	0.4198475885
50	0.4190548373
51	0.4181670118
52	0.4170457415
53	0.4165476656
54	0.41591002
55	0.4153947364
56	0.4145667368
57	0.4139304871
58	0.4133922352
59	0.4129389656
60	0.4123445087
61	0.4116664739
62	0.4110356728
63	0.4104134544
64	0.4101598295
65	0.4094385587
66	0.4089514238
67	0.4083782031
68	0.4078539766
69	0.4075057094
70	0.4071102214
71	0.4068296214
72	0.406560872
73	0.4062207567
74	0.4059192972
75	0.4055271398
76	0.4052385386
77	0.4050309633
78	0.4047329528
79	0.4044600951
80	0.4042676727
81	0.4039802649
82	0.4035472574
83	0.4032129619
84	0.4029220746
85	0.4025973252
86	0.4022986887
87	0.4018651872
88	0.4013669139
89	0.401169508
90	0.4008326328
91	0.4005184375
92	0.4003049784
93	0.4000276291
94	0.3997085996
95	0.3995010709
96	0.399245726
97	0.3990918748
98	0.3988564106
99	0.3986650219
100	0.3983739801
101	0.3981411333
102	0.3979876178
103	0.3978412648
104	0.3976181168
105	0.397364068
106	0.3971392093
107	0.3968805882
108	0.3966339382
109	0.3963811533
110	0.396302406
111	0.3960774909
112	0.3958424917
113	0.3956715321
114	0.3955272084
115	0.3953822771
116	0.3951830625
117	0.3950433699
118	0.394796729
119	0.394592491
120	0.3943884011
121	0.3942917307
122	0.3941392549
123	0.3939231196
124	0.3938488918
125	0.3936642408
126	0.3934876035
127	0.3933405997
128	0.3932280788
129	0.3930947177
130	0.3929969136
131	0.3928025398
132	0.3925753168
133	0.3922808753
134	0.3920370481
135	0.3919166452
136	0.3917871678
137	0.3915773419
138	0.3914128353
139	0.3913008142
140	0.3912495973
141	0.3911439741
142	0.390952931
143	0.390842115
144	0.3907045244
145	0.3906024504
146	0.3905123975
147	0.3903766554
148	0.3902225251
149	0.3900893329
150	0.3899284557
151	0.3897232659
152	0.3895608325
153	0.389394608
154	0.3892700187
155	0.3891785514
156	0.3890228336
157	0.3888730984
158	0.3887760602
159	0.3886636295
160	0.388535438
161	0.3884529692
162	0.3883075328
163	0.3882487817
164	0.3880513682
165	0.3879238046
166	0.3878297093
167	0.3877683674
168	0.3876609174
169	0.3875581511
170	0.3874465416
171	0.3873024532
172	0.3870945821
173	0.3869511516
174	0.3867599289
175	0.3866145074
176	0.3865144308
177	0.386393068
178	0.3862736799
179	0.3861300784
180	0.3860736787
181	0.3859899794
182	0.3858668539
183	0.3857813928
184	0.3856609162
185	0.3855455104
186	0.3854356534
187	0.3853169551
188	0.385194497
189	0.3850787204
190	0.3850052978
191	0.3849775233
192	0.3848718971
193	0.3848235477
194	0.3846827317
195	0.3845528132
196	0.3845066056
197	0.3843945802
198	0.3843422988
199	0.3842297326
200	0.3840629746
201	0.3839208933
202	0.3837585671
